customer_city,order_volume,total_sales
nova odessa,37,5060.2699999999995
valparaiso de goias,37,6424.51
penapolis,37,5549.26
guaxupe,37,6967.0
vassouras,36,5309.87
eunapolis,36,7715.63
luis eduardo magalhaes,36,9538.69
caldas novas,36,6204.57
campo largo,36,4665.79
pedreira,36,3391.290000000001
guanambi,36,5367.469999999998
olimpia,36,6365.15
mossoro,35,6244.010000000001
itumbiara,35,6489.090000000001
tiete,35,4792.7300000000005
almirante tamandare,35,5041.83
paracambi,35,7516.229999999999
campo bom,35,5137.099999999999
osorio,35,7225.75
sao sebastiao do paraiso,35,5509.709999999999
santa rita do sapucai,35,4687.13
caucaia,35,7092.719999999998
adamantina,35,6108.5
alegrete,35,5296.24
rio do sul,35,5695.130000000001
santa cruz do rio pardo,34,3126.2300000000005
japeri,34,5682.8200000000015
formosa,34,6124.119999999999
jequie,34,5766.869999999999
telemaco borba,34,5458.21
santa fe do sul,34,4605.21
sao joaquim da barra,34,4952.039999999999
catalao,33,6317.630000000001
seropedica,33,5256.35
camaragibe,33,3455.49
mococa,33,6758.87
taquaritinga,33,5237.070000000001
luziania,33,5608.510000000001
mariana,33,5212.95
sobral,33,12440.17
arapongas,32,7152.4900000000025
formiga,32,5033.34
monte alto,32,2854.43
sao lourenco,32,4958.96
cataguases,32,5139.96
capivari,32,5252.81
montenegro,32,5632.51
santa rosa,32,3601.11
imbituba,31,3587.7400000000002
ibiuna,31,4009.9300000000003
juazeiro do norte,31,8138.34
guaiba,31,6139.13
promissao,31,4728.07
maracanau,31,5915.23
navegantes,31,7500.85
tijucas,30,4144.17
cruz alta,30,3471.2299999999996
marechal candido rondon,30,4144.6900000000005
cachoeira do sul,30,5281.79
congonhas,30,3618.8300000000004
santo antonio de padua,30,5765.600000000001
garanhuns,30,5157.66
fazenda rio grande,29,5204.960000000001
uniao da vitoria,29,6037.75
gramado,29,3750.71
xanxere,29,4906.489999999999
arapiraca,29,10150.03
mirassol,29,6383.33
santo antonio de jesus,29,5060.15
cerquilho,29,3726.88
gaspar,29,11602.95
primavera do leste,28,7092.909999999999
arraial do cabo,28,6329.660000000001
alem paraiba,28,3548.32
barra bonita,28,4440.920000000001
capao bonito,28,3622.17
armacao dos buzios,28,5579.360000000001
itabirito,28,5798.0599999999995
miguel pereira,28,4409.540000000001
santa isabel,28,3176.1899999999996
itarare,28,4520.99
teixeira de freitas,28,4143.1
itapolis,28,4017.5000000000005
piumhii,28,4454.1100000000015
trindade,28,8413.61
orlandia,28,4552.400000000001
ituverava,28,4325.59
jales,28,3478.6300000000006
parauapebas,27,5634.15
farroupilha,27,3757.49
dracena,27,5186.39
dois vizinhos,27,2881.38
canoinhas,27,5291.019999999999
garca,27,3468.6899999999996
batatais,27,6130.549999999999
rio bonito,27,4946.289999999999
caete,27,3153.05
cambe,27,4559.0599999999995
matinhos,27,3538.83
camboriu,27,3711.42
corumba,27,5627.08
diamantina,27,2907.9299999999994
santiago,26,2974.7
venancio aires,26,3352.8399999999997
viana,26,4782.409999999999
joacaba,26,5233.090000000001
brumadinho,26,2795.24
indaial,26,4052.0600000000004
porto ferreira,26,2127.08
mafra,25,2327.3100000000004
arcos,25,5989.36
mineiros,25,4219.640000000001
aparecida,25,4208.910000000001
coromandel,25,2948.41
nanuque,25,2920.75
rio grande da serra,25,2577.74
altamira,25,6399.84
tramandai,25,3289.92
carangola,25,4843.370000000001
caceres,25,5668.5599999999995
cachoeira paulista,25,3768.0099999999998
barra do garcas,25,4924.3
santa barbara,25,5295.3099999999995
campos do jordao,25,3913.1200000000003
rolandia,24,5701.330000000001
cornelio procopio,24,2705.58
ilha solteira,24,2694.73
cordeiro,24,3098.43
gurupi,24,6192.179999999999
mairinque,24,3234.9999999999995
aguas lindas de goias,24,2788.7999999999997
frutal,24,3923.15
cravinhos,24,2838.32
monte carmelo,23,3403.67
tangara da serra,23,4765.88
sao fidelis,23,2597.42
jacobina,23,7693.919999999998
sao gabriel,23,2829.8199999999997
dias d'avila,23,3044.9800000000005
holambra,23,3102.0499999999997
sapiranga,23,4014.9500000000003
lucas do rio verde,23,6463.959999999999
presidente epitacio,23,3014.1500000000005
carazinho,23,2466.7400000000007
maraba,22,4661.779999999999
garopaba,22,3288.6299999999997
aguas de lindoia,22,3758.3600000000006
castro,22,4347.65
sarandi,22,2296.15
